Date,Price
2017-08-17 01-PM,4411
2017-08-17 02-PM,4459
2017-08-17 03-PM,4470.82
2017-08-17 04-PM,4352.34
2017-08-17 05-AM,4308.83
2017-08-17 05-PM,4354.18
2017-08-17 06-AM,4315.32
2017-08-17 06-PM,4289.24
2017-08-17 07-AM,4324.35
2017-08-17 07-PM,4256.97
2017-08-17 08-AM,4349.99
2017-08-17 08-PM,4325.23
2017-08-17 09-AM,4360.69
2017-08-17 09-PM,4346.74
2017-08-17 10-AM,4444
2017-08-17 10-PM,4333.55
2017-08-17 11-AM,4460
2017-08-17 11-PM,4336.8
2017-08-17 12-PM,4427.3
2017-08-18 01-AM,4286.53
2017-08-18 01-PM,4331.71
2017-08-18 02-AM,4243.59
2017-08-18 02-PM,4293.09
2017-08-18 03-AM,4267.59
2017-08-18 03-PM,4259.4
2017-08-18 04-AM,4292.39
2017-08-18 04-PM,4236.89
2017-08-18 05-AM,4287.92
2017-08-18 05-PM,4250.34
2017-08-18 06-AM,4313.56
2017-08-18 06-PM,4193.35
2017-08-18 07-AM,4279.46
2017-08-18 07-PM,4117.41
2017-08-18 08-AM,4300.25
2017-08-18 08-PM,4136.28
2017-08-18 09-AM,4282.73
2017-08-18 09-PM,4021.11
2017-08-18 10-AM,4304.15
2017-08-18 10-PM,3975.69
2017-08-18 11-AM,4356.31
2017-08-18 11-PM,4113.75
2017-08-18 12-AM,4285.08
2017-08-18 12-PM,4340.31
2017-08-19 01-AM,4163.49
2017-08-19 01-PM,4095
2017-08-19 02-AM,4148.53
2017-08-19 02-PM,4039.84
2017-08-19 03-AM,4156.39
2017-08-19 03-PM,4042.41
2017-08-19 04-AM,4138.55
2017-08-19 04-PM,3972.05
2017-08-19 05-AM,4068.26
2017-08-19 05-PM,4000
2017-08-19 06-AM,4077
2017-08-19 06-PM,4027.37
2017-08-19 07-AM,3986.87
2017-08-19 07-PM,4086.29
2017-08-19 08-AM,4033.47
2017-08-19 08-PM,4076.12
2017-08-19 09-AM,3999
2017-08-19 09-PM,4075.98
2017-08-19 10-AM,4068.2
2017-08-19 10-PM,4074.23
2017-08-19 11-AM,4000.58
2017-08-19 11-PM,4139.98
2017-08-19 12-AM,4108.37
2017-08-19 12-PM,3957.6
2017-08-20 01-AM,4086.09
2017-08-20 01-PM,4108.47
2017-08-20 02-AM,4082.53
2017-08-20 02-PM,4063.35
2017-08-20 03-AM,4124.69
2017-08-20 03-PM,4096.32
2017-08-20 04-AM,4094.62
2017-08-20 04-PM,4125
2017-08-20 05-AM,4093
2017-08-20 05-PM,4131.46
2017-08-20 06-AM,4117.41
2017-08-20 06-PM,4129
2017-08-20 07-AM,4115.41
2017-08-20 07-PM,4154.56
2017-08-20 08-AM,4155.87
2017-08-20 08-PM,4164.6
2017-08-20 09-AM,4184.73
2017-08-20 09-PM,4140.93
2017-08-20 10-AM,4155
2017-08-20 10-PM,4150
2017-08-20 11-AM,4142.41
2017-08-20 11-PM,4169.98
2017-08-20 12-AM,4139.98
2017-08-20 12-PM,4106.53
2017-08-21 01-AM,4108.28
2017-08-21 01-PM,4000
2017-08-21 02-AM,4094.6
2017-08-21 02-PM,3951.49
2017-08-21 03-AM,4079.94
2017-08-21 03-PM,3989.17
2017-08-21 04-AM,4084.76
2017-08-21 04-PM,4022
2017-08-21 05-AM,4104.68
2017-08-21 05-PM,4029.05
2017-08-21 06-AM,4016.9
2017-08-21 06-PM,4016.2
2017-08-21 07-AM,3982.96
2017-08-21 07-PM,3918.8
2017-08-21 08-AM,4043.63
2017-08-21 08-PM,4027.05
2017-08-21 09-AM,4036.3
2017-08-21 09-PM,4025.04
2017-08-21 10-AM,4074
2017-08-21 10-PM,4039.1
2017-08-21 11-AM,4088.1
2017-08-21 11-PM,4041.1
2017-08-21 12-AM,4086.29
2017-08-21 12-PM,4023.11
2017-08-22 01-AM,3790
2017-08-22 01-PM,3934.01
2017-08-22 02-AM,3700
2017-08-22 02-PM,3920.99
2017-08-22 03-AM,3849.98
2017-08-22 03-PM,3849
2017-08-22 04-AM,3862.39
2017-08-22 04-PM,3858.23
2017-08-22 05-AM,3500.8
2017-08-22 05-PM,3905.84
2017-08-22 06-AM,3626.99
2017-08-22 06-PM,3943
2017-08-22 07-AM,3803
2017-08-22 07-PM,4043.76
2017-08-22 08-AM,3798.08
2017-08-22 08-PM,3984.24
2017-08-22 09-AM,3794.12
2017-08-22 09-PM,3960.29
2017-08-22 10-AM,3904.56
2017-08-22 10-PM,3946.67
2017-08-22 11-AM,3844.08
2017-08-22 11-PM,4002
2017-08-22 12-AM,4016
2017-08-22 12-PM,3866.48
2017-08-23 01-AM,4036
2017-08-23 01-PM,4215.68
2017-08-23 02-AM,4100
2017-08-23 02-PM,4211
2017-08-23 03-AM,4083.72
2017-08-23 03-PM,4174
2017-08-23 04-AM,4100.41
2017-08-23 04-PM,4197.05
2017-08-23 05-AM,4083.6
2017-08-23 05-PM,4210.03
2017-08-23 06-AM,4053.18
2017-08-23 06-PM,4166.27
2017-08-23 07-AM,4080
2017-08-23 07-PM,4143.37
2017-08-23 08-AM,4074.88
2017-08-23 08-PM,4117.07
2017-08-23 09-AM,4124
2017-08-23 09-PM,4118.4
2017-08-23 10-AM,4203.12
2017-08-23 10-PM,4090
2017-08-23 11-AM,4228.02
2017-08-23 11-PM,4114.2
2017-08-23 12-AM,4040
2017-08-23 12-PM,4237.99
2017-08-24 01-AM,4131
2017-08-24 01-PM,4150.89
2017-08-24 02-AM,4140.91
2017-08-24 02-PM,4157.74
2017-08-24 03-AM,4131.92
2017-08-24 03-PM,4221
2017-08-24 04-AM,4113.58
2017-08-24 04-PM,4222
2017-08-24 05-AM,4113.98
2017-08-24 05-PM,4215
2017-08-24 06-AM,4132.09
2017-08-24 06-PM,4188.18
2017-08-24 07-AM,4133.42
2017-08-24 07-PM,4221
2017-08-24 08-AM,4153.32
2017-08-24 08-PM,4216.07
2017-08-24 09-AM,4200
2017-08-24 09-PM,4193.5
2017-08-24 10-AM,4165.01
