Date,Price
2020-04-01 11-AM,131.71
2020-04-01 10-AM,131.9
2020-04-01 09-AM,132.13
2020-04-01 08-AM,132
2020-04-01 07-AM,132.42
2020-04-01 06-AM,132.18
2020-04-01 05-AM,132
2020-04-01 04-AM,132.71
2020-04-01 03-AM,132.84
2020-04-01 02-AM,132.34
2020-04-01 01-AM,131.52
2020-04-01 12-AM,132.02
2020-03-31 11-PM,132.72
2020-03-31 10-PM,133.5
2020-03-31 09-PM,134.05
2020-03-31 08-PM,134.39
2020-03-31 07-PM,133.27
2020-03-31 06-PM,132.74
2020-03-31 05-PM,132.74
2020-03-31 04-PM,132.2
2020-03-31 03-PM,132.75
2020-03-31 02-PM,132.73
2020-03-31 01-PM,132.19
2020-03-31 12-PM,132.52
2020-03-31 11-AM,131.88
2020-03-31 10-AM,132.31
2020-03-31 09-AM,132.35
2020-03-31 08-AM,133.13
2020-03-31 07-AM,131.91
2020-03-31 06-AM,132.2
2020-03-31 05-AM,131.43
2020-03-31 04-AM,130.97
2020-03-31 03-AM,132.14
2020-03-31 02-AM,132.96
2020-03-31 01-AM,134.05
2020-03-31 12-AM,132.4
2020-03-30 11-PM,132.06
2020-03-30 10-PM,133.31
2020-03-30 09-PM,134.1
2020-03-30 08-PM,133.85
2020-03-30 07-PM,132.15
2020-03-30 06-PM,132.09
2020-03-30 05-PM,132.27
2020-03-30 04-PM,132.8
2020-03-30 03-PM,132.15
2020-03-30 02-PM,131.85
2020-03-30 01-PM,131.43
2020-03-30 12-PM,132.08
2020-03-30 11-AM,133.43
2020-03-30 10-AM,131.07
2020-03-30 09-AM,130.23
2020-03-30 08-AM,130.7
2020-03-30 07-AM,130.02
2020-03-30 06-AM,129.77
2020-03-30 05-AM,129.75
2020-03-30 04-AM,127.44
2020-03-30 03-AM,126.92
2020-03-30 02-AM,126.58
2020-03-30 01-AM,125.82
2020-03-30 12-AM,125.66
2020-03-29 11-PM,124.5
2020-03-29 10-PM,125.7
2020-03-29 09-PM,124.83
2020-03-29 08-PM,125.72
2020-03-29 07-PM,125.02
2020-03-29 06-PM,126.78
2020-03-29 05-PM,128.14
2020-03-29 04-PM,127.9
2020-03-29 03-PM,129.03
2020-03-29 02-PM,129.25
2020-03-29 01-PM,128.82
2020-03-29 12-PM,128.58
2020-03-29 11-AM,129.18
2020-03-29 10-AM,129.55
2020-03-29 09-AM,128.35
2020-03-29 08-AM,129.33
2020-03-29 07-AM,129.49
2020-03-29 06-AM,129.12
2020-03-29 05-AM,129.35
2020-03-29 04-AM,130.03
2020-03-29 03-AM,129.96
2020-03-29 02-AM,129.59
2020-03-29 01-AM,129.94
2020-03-29 12-AM,130.38
2020-03-28 11-PM,130.98
2020-03-28 10-PM,131.01
2020-03-28 09-PM,130.83
2020-03-28 08-PM,130.73
2020-03-28 07-PM,128.31
2020-03-28 06-PM,127.27
2020-03-28 05-PM,125.23
2020-03-28 04-PM,128.33
2020-03-28 03-PM,128.13
2020-03-28 02-PM,128.9
2020-03-28 01-PM,128.15
2020-03-28 12-PM,128.09
2020-03-28 11-AM,128
2020-03-28 10-AM,128.87
2020-03-28 09-AM,128.81
2020-03-28 08-AM,129.43
2020-03-28 07-AM,128.04
2020-03-28 06-AM,127.95
2020-03-28 05-AM,128.06
2020-03-28 04-AM,128.11
2020-03-28 03-AM,126.12
2020-03-28 02-AM,129.16
2020-03-28 01-AM,129.22
2020-03-28 12-AM,130.22
2020-03-27 11-PM,131.33
2020-03-27 10-PM,136.82
2020-03-27 09-PM,137.27
2020-03-27 08-PM,137.43
2020-03-27 07-PM,136.7
2020-03-27 06-PM,136.8
2020-03-27 05-PM,136.36
2020-03-27 04-PM,136.46
2020-03-27 03-PM,136.01
2020-03-27 02-PM,135.3
2020-03-27 01-PM,134.96
2020-03-27 12-PM,135.46
2020-03-27 11-AM,135.71
2020-03-27 10-AM,135.78
2020-03-27 09-AM,135.93
2020-03-27 08-AM,136.49
2020-03-27 07-AM,137.44
2020-03-27 06-AM,137
2020-03-27 05-AM,136.75
2020-03-27 04-AM,138.33
2020-03-27 03-AM,139.3
2020-03-27 02-AM,139.14
2020-03-27 01-AM,138.82
2020-03-27 12-AM,139.07
2020-03-26 11-PM,138.4
2020-03-26 10-PM,136.15
2020-03-26 09-PM,135.99
2020-03-26 08-PM,136.28
2020-03-26 07-PM,135.14
2020-03-26 06-PM,134.86
2020-03-26 05-PM,134.3
2020-03-26 04-PM,134.4
2020-03-26 03-PM,134.57
2020-03-26 02-PM,134.36
2020-03-26 01-PM,135.07
2020-03-26 12-PM,134.86
2020-03-26 11-AM,134.6
2020-03-26 10-AM,135.07
2020-03-26 09-AM,135.17
2020-03-26 08-AM,135.15
2020-03-26 07-AM,134.87
2020-03-26 06-AM,135.11
2020-03-26 05-AM,134.92
2020-03-26 04-AM,136.96
2020-03-26 03-AM,137.04
2020-03-26 02-AM,136
2020-03-26 01-AM,135.98
2020-03-26 12-AM,137
2020-03-25 11-PM,136.1
2020-03-25 10-PM,135.96
2020-03-25 09-PM,134.33
2020-03-25 08-PM,135.18
2020-03-25 07-PM,135.77
2020-03-25 06-PM,136.21
2020-03-25 05-PM,135.8
2020-03-25 04-PM,135.93
2020-03-25 03-PM,135.47
2020-03-25 02-PM,135.72
2020-03-25 01-PM,134.26
2020-03-25 12-PM,135.39
2020-03-25 11-AM,134.37
2020-03-25 10-AM,136.48
2020-03-25 09-AM,140.25
2020-03-25 08-AM,139.65
2020-03-25 07-AM,138.27
2020-03-25 06-AM,138.73
2020-03-25 05-AM,138.83
2020-03-25 04-AM,137.06
2020-03-25 03-AM,136.09
2020-03-25 02-AM,137.63
2020-03-25 01-AM,137.89
2020-03-25 12-AM,139.82
2020-03-24 11-PM,138.42
2020-03-24 10-PM,139.53
2020-03-24 09-PM,137.9
2020-03-24 08-PM,139.37
2020-03-24 07-PM,139.42
2020-03-24 06-PM,136.82
2020-03-24 05-PM,136.99
2020-03-24 04-PM,135.92
2020-03-24 03-PM,135.98
2020-03-24 02-PM,137.4
2020-03-24 01-PM,138.1
2020-03-24 12-PM,138.44
2020-03-24 11-AM,140.67
2020-03-24 10-AM,140.25
2020-03-24 09-AM,140.62
2020-03-24 08-AM,139.78
2020-03-24 07-AM,135.63
2020-03-24 06-AM,135.62
2020-03-24 05-AM,134.02
2020-03-24 04-AM,133.31
2020-03-24 03-AM,133.84
2020-03-24 02-AM,136.22
2020-03-24 01-AM,134.71
2020-03-24 12-AM,134.84
2020-03-23 11-PM,135.92
2020-03-23 10-PM,133.11
2020-03-23 09-PM,131.99
2020-03-23 08-PM,131.87
2020-03-23 07-PM,130.07
2020-03-23 06-PM,129.76
2020-03-23 05-PM,130.04
2020-03-23 04-PM,132.58
2020-03-23 03-PM,129.42
2020-03-23 02-PM,129.88
2020-03-23 01-PM,131.5
2020-03-23 12-PM,132.76
2020-03-23 11-AM,122.79
2020-03-23 10-AM,123.45
2020-03-23 09-AM,121.92
2020-03-23 08-AM,121.54
2020-03-23 07-AM,123.69
2020-03-23 06-AM,125.23
2020-03-23 05-AM,124.22
2020-03-23 04-AM,124.92
2020-03-23 03-AM,125.18
2020-03-23 02-AM,124.2
2020-03-23 01-AM,123.29
2020-03-23 12-AM,124.12
2020-03-22 11-PM,122.32
2020-03-22 10-PM,123.1
2020-03-22 09-PM,127.3
2020-03-22 08-PM,124.09
2020-03-22 07-PM,123.65
2020-03-22 06-PM,125.95
2020-03-22 05-PM,125.83
2020-03-22 04-PM,126.51
