Date,Price
2020-04-01 11-AM,38.27
2020-04-01 10-AM,38.36
2020-04-01 09-AM,38.34
2020-04-01 08-AM,38.53
2020-04-01 07-AM,38.7
2020-04-01 06-AM,38.58
2020-04-01 05-AM,38.58
2020-04-01 04-AM,38.72
2020-04-01 03-AM,38.79
2020-04-01 02-AM,38.74
2020-04-01 01-AM,38.57
2020-04-01 12-AM,38.71
2020-03-31 11-PM,39.08
2020-03-31 10-PM,39.19
2020-03-31 09-PM,39.25
2020-03-31 08-PM,39.15
2020-03-31 07-PM,38.96
2020-03-31 06-PM,38.92
2020-03-31 05-PM,38.88
2020-03-31 04-PM,38.87
2020-03-31 03-PM,38.94
2020-03-31 02-PM,38.94
2020-03-31 01-PM,38.87
2020-03-31 12-PM,38.92
2020-03-31 11-AM,38.76
2020-03-31 10-AM,38.85
2020-03-31 09-AM,38.86
2020-03-31 08-AM,39.18
2020-03-31 07-AM,38.75
2020-03-31 06-AM,38.72
2020-03-31 05-AM,38.69
2020-03-31 04-AM,38.65
2020-03-31 03-AM,38.8
2020-03-31 02-AM,38.83
2020-03-31 01-AM,39.24
2020-03-31 12-AM,39.01
2020-03-30 11-PM,38.91
2020-03-30 10-PM,39.17
2020-03-30 09-PM,39.41
2020-03-30 08-PM,39.19
2020-03-30 07-PM,38.81
2020-03-30 06-PM,38.87
2020-03-30 05-PM,38.93
2020-03-30 04-PM,39.14
2020-03-30 03-PM,38.73
2020-03-30 02-PM,38.68
2020-03-30 01-PM,38.6
2020-03-30 12-PM,38.7
2020-03-30 11-AM,38.92
2020-03-30 10-AM,38.63
2020-03-30 09-AM,38.36
2020-03-30 08-AM,38.52
2020-03-30 07-AM,38.52
2020-03-30 06-AM,38.22
2020-03-30 05-AM,38.19
2020-03-30 04-AM,37.74
2020-03-30 03-AM,37.65
2020-03-30 02-AM,37.72
2020-03-30 01-AM,37.58
2020-03-30 12-AM,37.42
2020-03-29 11-PM,37.11
2020-03-29 10-PM,37.44
2020-03-29 09-PM,37.18
2020-03-29 08-PM,37.38
2020-03-29 07-PM,37.26
2020-03-29 06-PM,37.99
2020-03-29 05-PM,38.25
2020-03-29 04-PM,38.23
2020-03-29 03-PM,38.41
2020-03-29 02-PM,38.42
2020-03-29 01-PM,38.3
2020-03-29 12-PM,38.18
2020-03-29 11-AM,38.25
2020-03-29 10-AM,38.42
2020-03-29 09-AM,37.95
2020-03-29 08-AM,38.4
2020-03-29 07-AM,38.43
2020-03-29 06-AM,38.4
2020-03-29 05-AM,38
2020-03-29 04-AM,38.36
2020-03-29 03-AM,38.48
2020-03-29 02-AM,38.39
2020-03-29 01-AM,38.71
2020-03-29 12-AM,38.67
2020-03-28 11-PM,38.87
2020-03-28 10-PM,38.8
2020-03-28 09-PM,39.08
2020-03-28 08-PM,38.98
2020-03-28 07-PM,38.27
2020-03-28 06-PM,38.04
2020-03-28 05-PM,37
2020-03-28 04-PM,37.91
2020-03-28 03-PM,37.73
2020-03-28 02-PM,37.81
2020-03-28 01-PM,37.7
2020-03-28 12-PM,37.82
2020-03-28 11-AM,37.7
2020-03-28 10-AM,37.97
2020-03-28 09-AM,37.99
2020-03-28 08-AM,37.95
2020-03-28 07-AM,37.7
2020-03-28 06-AM,37.59
2020-03-28 05-AM,37.56
2020-03-28 04-AM,37.49
2020-03-28 03-AM,37.07
2020-03-28 02-AM,37.47
2020-03-28 01-AM,37.41
2020-03-28 12-AM,38.13
2020-03-27 11-PM,38.04
