Date,Price
2020-04-01 11-AM,6.628
2020-04-01 10-AM,6.636
2020-04-01 09-AM,6.654
2020-04-01 08-AM,6.657
2020-04-01 07-AM,6.69
2020-04-01 06-AM,6.671
2020-04-01 05-AM,6.688
2020-04-01 04-AM,6.732
2020-04-01 03-AM,6.761
2020-04-01 02-AM,6.724
2020-04-01 01-AM,6.692
2020-04-01 12-AM,6.732
2020-03-31 11-PM,6.772
2020-03-31 10-PM,6.842
2020-03-31 09-PM,6.837
2020-03-31 08-PM,6.82
2020-03-31 07-PM,6.728
2020-03-31 06-PM,6.649
2020-03-31 05-PM,6.635
2020-03-31 04-PM,6.604
2020-03-31 03-PM,6.635
2020-03-31 02-PM,6.671
2020-03-31 01-PM,6.604
2020-03-31 12-PM,6.604
2020-03-31 11-AM,6.559
2020-03-31 10-AM,6.596
2020-03-31 09-AM,6.601
2020-03-31 08-AM,6.653
2020-03-31 07-AM,6.617
2020-03-31 06-AM,6.645
2020-03-31 05-AM,6.58
2020-03-31 04-AM,6.569
2020-03-31 03-AM,6.613
2020-03-31 02-AM,6.613
2020-03-31 01-AM,6.65
2020-03-31 12-AM,6.611
2020-03-30 11-PM,6.568
2020-03-30 10-PM,6.656
2020-03-30 09-PM,6.697
2020-03-30 08-PM,6.664
2020-03-30 07-PM,6.589
2020-03-30 06-PM,6.598
2020-03-30 05-PM,6.62
2020-03-30 04-PM,6.631
2020-03-30 03-PM,6.518
2020-03-30 02-PM,6.518
2020-03-30 01-PM,6.499
2020-03-30 12-PM,6.515
2020-03-30 11-AM,6.568
2020-03-30 10-AM,6.493
2020-03-30 09-AM,6.455
2020-03-30 08-AM,6.495
2020-03-30 07-AM,6.458
2020-03-30 06-AM,6.416
2020-03-30 05-AM,6.421
2020-03-30 04-AM,6.355
2020-03-30 03-AM,6.299
2020-03-30 02-AM,6.273
2020-03-30 01-AM,6.222
2020-03-30 12-AM,6.226
2020-03-29 11-PM,6.179
2020-03-29 10-PM,6.21
2020-03-29 09-PM,6.17
2020-03-29 08-PM,6.219
2020-03-29 07-PM,6.181
2020-03-29 06-PM,6.347
2020-03-29 05-PM,6.413
2020-03-29 04-PM,6.408
2020-03-29 03-PM,6.467
2020-03-29 02-PM,6.468
2020-03-29 01-PM,6.452
2020-03-29 12-PM,6.437
2020-03-29 11-AM,6.445
2020-03-29 10-AM,6.462
2020-03-29 09-AM,6.384
2020-03-29 08-AM,6.452
2020-03-29 07-AM,6.468
2020-03-29 06-AM,6.465
2020-03-29 05-AM,6.507
2020-03-29 04-AM,6.568
2020-03-29 03-AM,6.556
2020-03-29 02-AM,6.527
2020-03-29 01-AM,6.564
2020-03-29 12-AM,6.577
2020-03-28 11-PM,6.628
2020-03-28 10-PM,6.606
2020-03-28 09-PM,6.66
2020-03-28 08-PM,6.644
2020-03-28 07-PM,6.591
2020-03-28 06-PM,6.462
2020-03-28 05-PM,6.32
2020-03-28 04-PM,6.487
2020-03-28 03-PM,6.438
2020-03-28 02-PM,6.468
2020-03-28 01-PM,6.404
2020-03-28 12-PM,6.41
2020-03-28 11-AM,6.418
